0,0000 0,00 0,00 0,00 0,00 0,00 0,00
6391,0000 172,76 11,87 0,00 -33,65 -635,25 449,50
6406,0000 172,90 12,93 0,00 -33,91 -635,04 449,31
6413,0000 172,90 12,93 0,00 -34,17 -634,84 449,13
6414,0000 172,90 12,93 0,00 -34,42 -634,65 448,95
6424,0000 172,86 12,28 0,00 -34,65 -634,46 448,78
6436,0000 172,86 12,28 0,00 -34,88 -634,28 448,62
6448,0000 172,81 13,01 0,00 -35,10 -634,12 448,46
6448,0000 172,81 13,01 0,00 -35,31 -633,95 448,31
6448,0000 172,81 13,01 0,00 -35,52 -633,80 448,16
6470,0000 173,26 12,82 0,00 -35,71 -633,65 448,03
6470,0000 173,26 12,82 0,00 -35,90 -633,51 447,89
6514,0000 173,04 12,26 0,00 -36,08 -633,38 447,77
6514,0000 173,04 12,26 0,00 -36,26 -633,26 447,65
6514,0000 173,04 12,26 0,00 -36,42 -633,14 447,53
6527,0000 173,04 12,26 0,00 -36,58 -633,02 447,42
6527,0000 173,04 12,26 0,00 -36,74 -632,92 447,32
6538,0000 173,67 12,44 0,00 -36,88 -632,81 447,22
6539,0000 173,67 12,44 0,00 -37,02 -632,72 447,12
6539,0000 173,67 12,44 0,00 -37,16 -632,62 447,03
6561,0000 174,40 12,51 0,00 -37,29 -632,53 446,94
6561,0000 174,40 12,51 0,00 -37,41 -632,45 446,85
6569,0000 176,05 12,91 0,00 -37,53 -632,37 446,77
6584,0000 176,05 12,91 0,00 -37,64 -632,29 446,70
6584,0000 176,05 12,91 0,00 -37,75 -632,22 446,62
6604,0000 177,76 13,01 0,00 -37,85 -632,15 446,55
6605,0000 179,66 13,89 0,00 -37,95 -632,09 446,48
6616,0000 179,66 13,89 0,00 -38,04 -632,02 446,42
6616,0000 179,66 13,89 0,00 -38,14 -631,96 446,36
6616,0000 179,66 13,89 0,00 -38,22 -631,91 446,30
6629,0000 181,63 13,88 0,00 -38,31 -631,85 446,24
6629,0000 181,63 13,88 0,00 -38,39 -631,80 446,19
6666,0000 186,22 14,37 0,00 -38,47 -631,75 446,14
6667,0000 186,22 14,37 0,00 -38,55 -631,70 446,08
6667,0000 186,22 14,37 0,00 -38,63 -631,66 446,03
6673,0000 186,22 14,37 0,00 -38,71 -631,61 445,98
6673,0000 186,22 14,37 0,00 -38,79 -631,56 445,93
6724,0000 192,55 14,77 0,00 -38,88 -631,51 445,87
6730,0000 192,55 14,77 0,00 -38,96 -631,45 445,82
6776,0000 193,37 14,71 0,00 -39,05 -631,40 445,76
6813,0000 193,38 14,41 0,00 -39,13 -631,33 445,70
6813,0000 193,38 14,41 0,00 -39,23 -631,27 445,63
6829,0000 193,67 14,78 0,00 -39,32 -631,20 445,57
6829,0000 193,67 14,78 0,00 -39,43 -631,13 445,50
6829,0000 193,67 14,78 0,00 -39,53 -631,05 445,42
6838,0000 193,67 14,78 0,00 -39,65 -630,97 445,34
6839,0000 193,67 14,78 0,00 -39,77 -630,88 445,26
6856,0000 193,69 14,92 0,00 -39,90 -630,78 445,17
6856,0000 193,69 14,92 0,00 -40,04 -630,68 445,07
6856,0000 193,69 14,92 0,00 -40,19 -630,56 444,96
6865,0000 193,70 15,13 0,00 -40,35 -630,44 444,85
6865,0000 193,70 15,13 0,00 -40,52 -630,31 444,72
6888,0000 193,92 14,86 0,00 -40,70 -630,17 444,59
6899,0000 193,92 14,86 0,00 -40,89 -630,03 444,45
6899,0000 193,92 14,86 0,00 -41,10 -629,88 444,30
6912,0000 193,68 15,09 0,00 -41,31 -629,71 444,15
6913,0000 193,68 15,09 0,00 -41,53 -629,55 443,99
